# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 4, targetName: Mars, Diameter: 6780.00 km, Orbital period: 6.86980000E+02 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic rectangular, frameType: Mean J2000, frameCentre: Heliocenter
# Nb rows: 50
Target, Date, X (au), Y (au), Z (au), Xp (au/day), Yp (au/day), Zp (au/day), Observer distance (au)
Mars,   2019-03-27T00:00:00.00,    0.0882532134540,    1.5588967034359,    0.0304988705512,   -0.0134425908682,    0.0019799201766,    0.0003713255478,    1.5616906680816
Mars,   2019-04-11T00:00:00.00,   -0.1135699378945,    1.5750613633142,    0.0357896751626,   -0.0134286998010,    0.0001825039889,    0.0003333209080,    1.5795560546707
Mars,   2019-04-26T00:00:00.00,   -0.3134947898771,    1.5646472470771,    0.0404769615315,   -0.0131922457889,   -0.0015599647879,    0.0002910070030,    1.5962576156375
Mars,   2019-05-11T00:00:00.00,   -0.5083092463902,    1.5286465129090,    0.0445027094508,   -0.0127501908382,   -0.0032257334770,    0.0002452557372,    1.6115579240422
Mars,   2019-05-26T00:00:00.00,   -0.6950592750966,    1.4683502321879,    0.0478214900425,   -0.0121198838989,   -0.0047966027610,    0.0001968735630,    1.6252528096188
Mars,   2019-06-10T00:00:00.00,   -0.8710508921707,    1.3852995383233,    0.0503994849408,   -0.0113185917703,   -0.0062573308184,    0.0001466032406,    1.6371696844593
Mars,   2019-06-25T00:00:00.00,   -1.0338468334031,    1.2812454687316,    0.0522135805413,   -0.0103632434980,   -0.0075950903235,    0.0000951297678,    1.6471658945218
Mars,   2019-07-10T00:00:00.00,   -1.1812601932926,    1.1581164497390,    0.0532505283047,   -0.0092702774256,   -0.0087989742230,    0.0000430849314,    1.6551268755532
Mars,   2019-07-25T00:00:00.00,   -1.3113468149020,    1.0179929993470,    0.0535062207887,   -0.0080556286469,   -0.0098595430671,   -0.0000089425562,    1.6609645183857
Mars,   2019-08-09T00:00:00.00,   -1.4223982308833,    0.8630885615658,    0.0529851188974,   -0.0067348057052,   -0.0107684577630,   -0.0000603974016,    1.6646158761559
Mars,   2019-08-24T00:00:00.00,   -1.5129362204091,    0.6957353074422,    0.0516998184716,   -0.0053230257173,   -0.0115181822492,   -0.0001107487767,    1.6660421652160
Mars,   2019-09-08T00:00:00.00,   -1.5817097913860,    0.5183740192975,    0.0496707606453,   -0.0038354092250,   -0.0121017357712,   -0.0001594792576,    1.6652281142570
Mars,   2019-09-23T00:00:00.00,   -1.6276956234666,    0.3335469680448,    0.0469261110830,   -0.0022872308275,   -0.0125125531655,   -0.0002060756102,    1.6621819041386
Mars,   2019-10-08T00:00:00.00,   -1.6501021471154,    0.1438923165030,    0.0435017369838,   -0.0006941618163,   -0.0127444022196,   -0.0002500226693,    1.6569352720563
Mars,   2019-10-23T00:00:00.00,   -1.6483776957977,   -0.0478605972262,    0.0394413035462,    0.0009274298944,   -0.0127913635838,   -0.0002907946561,    1.6495439615832
Mars,   2019-11-07T00:00:00.00,   -1.6222233173459,   -0.2388964086809,    0.0347964813221,    0.0025601638339,   -0.0126479067734,   -0.0003278491600,    1.6400886502057
Mars,   2019-11-22T00:00:00.00,   -1.5716103377635,   -0.4263207101473,    0.0296272254048,    0.0041853315630,   -0.0123090580227,   -0.0003606235018,    1.6286762029792
Mars,   2019-12-07T00:00:00.00,   -1.4968026906093,   -0.6071701863519,    0.0240021091509,    0.0057825691685,   -0.0117706580883,   -0.0003885305214,    1.6154411258395
Mars,   2019-12-22T00:00:00.00,   -1.3983841931498,   -0.7784278008531,    0.0179986922276,    0.0073295474897,   -0.0110297860075,   -0.0004109604971,    1.6005474518783
Mars,   2020-01-06T00:00:00.00,   -1.2772897578568,   -0.9370452617633,    0.0117038052808,    0.0088017484246,   -0.0100852940959,   -0.0004272880211,    1.5841906221087
