# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 3, targetName: Earth, Diameter: 12756.27 km, Orbital period: 3.65256000E+02 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic rectangular, frameType: Mean J2000, frameCentre: Heliocenter
# Nb rows: 50
Target, Date, X (au), Y (au), Z (au), Xp (au/day), Yp (au/day), Zp (au/day), Observer distance (au)
Earth,   2019-03-27T00:00:00.00,   -0.9925533660347,   -0.1003800054831,    0.0000059253779,    0.0014445045368,   -0.0171804298294,    0.0000012835367,    0.9976163240258
Earth,   2019-04-11T00:00:00.00,   -0.9380763551757,   -0.3519835621445,    0.0000197375942,    0.0057705368027,   -0.0161727932282,    0.0000001258399,    1.0019379604293
Earth,   2019-04-26T00:00:00.00,   -0.8218345870576,   -0.5803276331683,    0.0000289055222,    0.0096378592915,   -0.0141208809662,    0.0000012206230,    1.0060776566142
Earth,   2019-05-11T00:00:00.00,   -0.6520854132898,   -0.7710715891735,    0.0000361129192,    0.0128620475681,   -0.0111702374450,   -0.0000001517283,    1.0098350276952
Earth,   2019-05-26T00:00:00.00,   -0.4404493806937,   -0.9121458319082,    0.0000446189483,    0.0152091172893,   -0.0075510540839,    0.0000007871258,    1.0129193835700
Earth,   2019-06-10T00:00:00.00,   -0.2006218192858,   -0.9951606063490,    0.0000436430106,    0.0165867977988,   -0.0034582642194,   -0.0000002528370,    1.0151816333579
Earth,   2019-06-25T00:00:00.00,    0.0518058362898,   -1.0151356841063,    0.0000490900617,    0.0169018255121,    0.0008055623378,    0.0000001107193,    1.0164567399696
Earth,   2019-07-10T00:00:00.00,    0.3010907897634,   -0.9710736519144,    0.0000408511353,    0.0161498246011,    0.0050363146216,   -0.0000002144119,    1.0166807280516
Earth,   2019-07-25T00:00:00.00,    0.5312788731427,   -0.8658379989830,    0.0000411687353,    0.0143872226693,    0.0089273791240,   -0.0000006225272,    1.0158408749531
Earth,   2019-08-09T00:00:00.00,    0.7279792921632,   -0.7058210660469,    0.0000284944279,    0.0116898683492,    0.0122901359790,   -0.0000001578191,    1.0139710192633
Earth,   2019-08-24T00:00:00.00,    0.8783412700329,   -0.5010685488087,    0.0000227105578,    0.0082506900778,    0.0148762609565,   -0.0000012030109,    1.0112136657324
Earth,   2019-09-08T00:00:00.00,    0.9724629612464,   -0.2641272221735,    0.0000093164262,    0.0042225178382,    0.0165371867920,   -0.0000001607010,    1.0076941006953
Earth,   2019-09-23T00:00:00.00,    1.0036366345000,   -0.0102413785013,   -0.0000017711482,   -0.0000984997905,    0.0171401580858,   -0.0000014285477,    1.0036888860335
Earth,   2019-10-08T00:00:00.00,    0.9690418202616,    0.2443955662087,   -0.0000122424276,   -0.0044928022053,    0.0166128559137,   -0.0000002094256,    0.9993854323274
Earth,   2019-10-23T00:00:00.00,    0.8702467342974,    0.4826878824293,   -0.0000258417702,   -0.0086213339736,    0.0149855343032,   -0.0000011730324,    0.9951467083135
Earth,   2019-11-07T00:00:00.00,    0.7129129407407,    0.6885974967471,   -0.0000307396099,   -0.0122350469414,    0.0123033972225,   -0.0000002508666,    0.9911666734444
Earth,   2019-11-22T00:00:00.00,    0.5072534683248,    0.8476355737785,   -0.0000427565358,   -0.0150436801617,    0.0087766273909,   -0.0000004943988,    0.9878219216491
Earth,   2019-12-07T00:00:00.00,    0.2666657748848,    0.9484621482185,   -0.0000412015967,   -0.0168412044395,    0.0045854394826,   -0.0000002444008,    0.9852365623523
Earth,   2019-12-22T00:00:00.00,    0.0077592006521,    0.9836868608885,   -0.0000476125051,   -0.0174890336963,    0.0000763436671,    0.0000003481440,    0.9837174633737
Earth,   2020-01-06T00:00:00.00,   -0.2517786480529,    0.9504619752012,   -0.0000406471853,   -0.0169066100278,   -0.0044745928522,   -0.0000001712915,    0.9832448604345
